humidity_inside,temperature_inside,co2_inside,temperature_heater,temperature_wall_inside,state_air_quality
58.94,21.955,1653,41.187,14.062,1
58.97,21.94,1665,40.937,14.062,1
57.89,22.353,1707,40.375,14.25,1
58.96,22.504,1981,40.875,14.375,1
57.74,22.515,1868,40.812,14.375,1
59.48,22.71,2076,41.062,14.562,2
59.64,22.788,2156,41.187,14.625,2
60.53,22.972,2293,40.375,14.75,2
55.58,22.005,808,42.125,14.687,0
55.47,22.078,814,41.0,14.687,0
57.09,22.534,1189,40.312,14.812,1
55.14,22.532,1090,39.0,14.937,1
54.67,22.476,1038,38.187,14.875,1
55.73,22.695,1245,38.562,14.937,1
54.49,22.458,1109,37.687,14.875,1
57.63,22.858,1413,40.312,15.062,1
58.33,23.199,1767,39.687,15.125,1
58.55,23.199,1909,40.937,15.187,1
60.99,20.332,1094,27.687,13.312,1
61.01,20.229,1032,26.812,13.187,1
62.41,20.039,1132,23.0,12.937,1
55.95,22.055,804,40.812,14.062,0
57.44,22.294,1132,40.562,14.187,1
56.64,22.537,1138,39.937,14.312,1
56.4,22.764,1236,40.812,14.437,1
56.14,22.971,1353,42.687,14.5,1
55.95,23.286,1538,43.375,14.625,1
55.91,23.397,1641,43.437,14.687,1
56.79,20.253,712,24.562,12.25,1
56.67,20.314,690,27.812,12.562,1
58.26,20.304,918,26.812,12.25,1
51.03,22.022,796,42.0,13.375,0
51.77,22.417,1015,41.187,13.5,1
52.76,22.853,1268,42.125,13.687,1
53.46,23.094,1518,42.875,13.687,1
54.4,23.196,1630,42.25,13.812,1
54.8,23.444,1885,45.375,13.875,1
55.04,23.472,2048,43.812,13.937,2
68.52,20.763,912,29.125,12.625,1
67.86,20.834,985,30.25,12.625,1
64.92,22.28,1502,46.312,13.25,1
54.88,22.507,995,44.937,13.25,0
55.34,22.986,1337,45.937,13.437,1
55.14,23.173,1493,45.5,13.5,1
56.32,23.31,1581,45.0,13.562,1
57.03,23.587,1628,47.937,13.625,1
56.19,23.524,1547,45.562,13.625,1
57.32,23.479,1587,44.125,13.625,1
62.74,20.339,1436,28.937,12.187,1
49.78,20.074,531,43.437,12.312,1
50.87,21.835,740,44.812,12.937,1
52.42,22.666,703,38.0,13.25,0
51.99,23.096,797,40.25,13.5,1
53.02,22.984,870,40.375,13.562,0
53.25,23.107,985,41.312,13.75,1
55.26,23.125,1212,42.937,13.875,1
56.24,23.341,1602,41.75,14.125,1
54.22,23.339,1356,44.062,14.187,1
58.93,20.037,925,22.562,12.187,1
58.69,20.002,905,22.875,12.125,1
47.78,20.15,490,44.312,12.75,1
47.37,22.282,592,40.812,13.437,0
48.72,22.261,564,40.687,13.437,0
49.43,22.161,553,40.812,13.437,0
49.59,22.226,535,42.062,13.562,0
49.92,22.325,532,42.437,13.687,0
50.47,22.359,538,41.625,13.687,0
